[Worker:RC_2025-09.zst] Starting scan
[Worker:RC_2025-12.zst] Starting scan
[Worker:RC_2025-09.zst] comments=11,300,000 active_words=6,423 remaining=34
[Worker:RC_2025-12.zst] comments=11,400,000 active_words=6,423 remaining=25
[Worker:RC_2025-09.zst] comments=11,400,000 active_words=6,423 remaining=29
[Worker:RC_2025-12.zst] comments=11,500,000 active_words=6,423 remaining=23
[Worker:RC_2025-09.zst] comments=11,500,000 active_words=6,423 remaining=28
[Worker:RC_2025-12.zst] comments=11,600,000 active_words=6,423 remaining=18
[Worker:RC_2025-09.zst] comments=11,600,000 active_words=6,423 remaining=26
[Worker:RC_2025-12.zst] comments=11,700,000 active_words=6,423 remaining=16
[Worker:RC_2025-09.zst] comments=11,700,000 active_words=6,423 remaining=22
[Worker:RC_2025-12.zst] comments=11,800,000 active_words=6,423 remaining=15
[Worker:RC_2025-09.zst] comments=11,800,000 active_words=6,423 remaining=17
[Worker:RC_2025-12.zst] comments=11,900,000 active_words=6,423 remaining=15
[Worker:RC_2025-09.zst] comments=11,900,000 active_words=6,423 remaining=17
[Worker:RC_2025-12.zst] comments=12,000,000 active_words=6,423 remaining=12
[Worker:RC_2025-09.zst] comments=12,000,000 active_words=6,423 remaining=16
[Worker:RC_2025-12.zst] comments=12,100,000 active_words=6,423 remaining=12
[Worker:RC_2025-09.zst] comments=12,100,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,200,000 active_words=6,423 remaining=11
[Worker:RC_2025-09.zst] comments=12,200,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,300,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,300,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,400,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,400,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,500,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,500,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,600,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,600,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,700,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,700,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,800,000 active_words=6,423 remaining=10
[Worker:RC_2025-09.zst] comments=12,800,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=12,900,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=12,900,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=13,000,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,000,000 active_words=6,423 remaining=14
[Worker:RC_2025-12.zst] comments=13,100,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,100,000 active_words=6,423 remaining=13
[Worker:RC_2025-12.zst] comments=13,200,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,200,000 active_words=6,423 remaining=13
[Worker:RC_2025-12.zst] comments=13,300,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,300,000 active_words=6,423 remaining=13
[Worker:RC_2025-12.zst] comments=13,400,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,400,000 active_words=6,423 remaining=13
[Worker:RC_2025-12.zst] comments=13,500,000 active_words=6,423 remaining=9
[Worker:RC_2025-09.zst] comments=13,500,000 active_words=6,423 remaining=12
[Worker:RC_2025-12.zst] comments=13,600,000 active_words=6,423 remaining=8
[Worker:RC_2025-09.zst] comments=13,600,000 active_words=6,423 remaining=12
[Worker:RC_2025-12.zst] comments=13,700,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=13,700,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=13,800,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=13,800,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=13,900,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=13,900,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,000,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,000,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,100,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,100,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,200,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,200,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,300,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,300,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,400,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,400,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,500,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,500,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,600,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,600,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,700,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,700,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,800,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,800,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=14,900,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=14,900,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=15,000,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,000,000 active_words=6,423 remaining=11
[Worker:RC_2025-12.zst] comments=15,100,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,100,000 active_words=6,423 remaining=10
[Worker:RC_2025-12.zst] comments=15,200,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,200,000 active_words=6,423 remaining=10
[Worker:RC_2025-12.zst] comments=15,300,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,300,000 active_words=6,423 remaining=10
[Worker:RC_2025-12.zst] comments=15,400,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,400,000 active_words=6,423 remaining=10
[Worker:RC_2025-12.zst] comments=15,500,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,500,000 active_words=6,423 remaining=10
[Worker:RC_2025-12.zst] comments=15,600,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,600,000 active_words=6,423 remaining=9
[Worker:RC_2025-12.zst] comments=15,700,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,700,000 active_words=6,423 remaining=9
[Worker:RC_2025-12.zst] comments=15,800,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,800,000 active_words=6,423 remaining=9
[Worker:RC_2025-12.zst] comments=15,900,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=15,900,000 active_words=6,423 remaining=8
[Worker:RC_2025-12.zst] comments=16,000,000 active_words=6,423 remaining=6
[Worker:RC_2025-09.zst] comments=16,000,000 active_words=6,423 remaining=8
[Worker:RC_2025-12.zst] comments=16,100,000 active_words=6,423 remaining=5
[Worker:RC_2025-09.zst] comments=16,100,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,200,000 active_words=6,423 remaining=5
[Worker:RC_2025-09.zst] comments=16,200,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,300,000 active_words=6,423 remaining=5
[Worker:RC_2025-09.zst] comments=16,300,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,400,000 active_words=6,423 remaining=4
[Worker:RC_2025-09.zst] comments=16,400,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,500,000 active_words=6,423 remaining=4
[Worker:RC_2025-09.zst] comments=16,500,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,600,000 active_words=6,423 remaining=4
[Worker:RC_2025-09.zst] comments=16,600,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,700,000 active_words=6,423 remaining=4
[Worker:RC_2025-09.zst] comments=16,700,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,800,000 active_words=6,423 remaining=4
[Worker:RC_2025-09.zst] comments=16,800,000 active_words=6,423 remaining=7
[Worker:RC_2025-12.zst] comments=16,900,000 active_words=6,423 remaining=4
[Worker:RC_2025-12.zst] comments=17,000,000 active_words=6,423 remaining=3
